1734411814.995035 client started (31375): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1734411814.995076 on Linux 6.9.3-76060903-generic #202405300957~1732141768~22.04~f2697e1 SMP PREEMPT_DYNAMIC Wed N
1734411814.996370 sending message 105 to peer 0x5e553a568670 (12 bytes)
1734411814.996372 sending message 105 to peer 0x5e553a568670 (16 bytes)
1734411814.996375 sending message 105 to peer 0x5e553a568670 (18 bytes)
1734411814.996377 sending message 105 to peer 0x5e553a568670 (13 bytes)
1734411814.996380 sending message 105 to peer 0x5e553a568670 (41 bytes)
1734411814.996383 sending message 105 to peer 0x5e553a568670 (41 bytes)
1734411814.996385 sending message 105 to peer 0x5e553a568670 (23 bytes)
1734411814.996388 sending message 105 to peer 0x5e553a568670 (154 bytes)
1734411814.996391 sending message 105 to peer 0x5e553a568670 (31 bytes)
1734411814.996393 sending message 105 to peer 0x5e553a568670 (15 bytes)
1734411814.996396 sending message 105 to peer 0x5e553a568670 (23 bytes)
1734411814.996398 sending message 105 to peer 0x5e553a568670 (23 bytes)
1734411814.996403 sending message 105 to peer 0x5e553a568670 (17 bytes)
1734411814.996406 sending message 105 to peer 0x5e553a568670 (21 bytes)
1734411814.996409 sending message 105 to peer 0x5e553a568670 (11 bytes)
1734411814.996411 sending message 105 to peer 0x5e553a568670 (20 bytes)
1734411814.996416 sending message 105 to peer 0x5e553a568670 (60 bytes)
1734411814.996419 sending message 105 to peer 0x5e553a568670 (28 bytes)
1734411814.996421 sending message 105 to peer 0x5e553a568670 (11 bytes)
1734411814.996424 sending message 105 to peer 0x5e553a568670 (8 bytes)
1734411814.996427 sending message 105 to peer 0x5e553a568670 (32 bytes)
1734411814.996430 sending message 105 to peer 0x5e553a568670 (1519 bytes)
1734411814.996458 sending message 105 to peer 0x5e553a568670 (26 bytes)
1734411814.996462 sending message 105 to peer 0x5e553a568670 (19 bytes)
1734411814.996465 sending message 105 to peer 0x5e553a568670 (38 bytes)
1734411814.996468 sending message 105 to peer 0x5e553a568670 (16 bytes)
1734411814.996471 sending message 106 to peer 0x5e553a568670 (0 bytes)
1734411814.996478 sending message 200 to peer 0x5e553a568670 (4 bytes)
1734411814.996481 client loop enter
1734411815.000642 peer 0x5e553a568670 message 207
1734411815.000674 sending message 208 to peer 0x5e553a568670 (0 bytes)
1734411817.155266 peer 0x5e553a568670 message 203
1734411817.155295 sending message 205 to peer 0x5e553a568670 (0 bytes)
1734411817.155602 peer 0x5e553a568670 message 204
1734411817.155607 client loop exit
